variable_names,basename,proposed_name,qualifier_gf,qualifier_pi,qualifier_pos,qualifier_ag,need_aggregate,aggregate_method,layer,H_index,V_index,R_index,is_correct_basename,is_unique,is_PI_provide,is_gapfill,is_fetch,is_layer_integrate,is_layer_SD,is_layer_number,is_replicate_average,is_replicate_SD,is_replicate_number,is_quadruplet
G_3_1_1,G,NA,NA,NA,_3_1_1,NA,TRUE,manual,NA,3,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
G_4_1_1,G,NA,NA,NA,_4_1_1,NA,TRUE,manual,NA,4,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CO2,CO2,NA,NA,NA,NA,NA,TRUE,manual,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FCH4,FCH4,FCH4,NA,NA,NA,NA,FALSE,equal,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P_RAIN,P_RAIN,P_RAIN,NA,NA,NA,NA,FALSE,equal,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TS_1_1_1,TS,NA,NA,NA,_1_1_1,NA,TRUE,manual,NA,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_1_2_1,TS,NA,NA,NA,_1_2_1,NA,TRUE,manual,NA,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_1_3_1,TS,NA,NA,NA,_1_3_1,NA,TRUE,manual,NA,1,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_1_4_1,TS,NA,NA,NA,_1_4_1,NA,TRUE,manual,NA,1,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_1_5_1,TS,NA,NA,NA,_1_5_1,NA,TRUE,manual,NA,1,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_2_1_1,TS,NA,NA,NA,_2_1_1,NA,TRUE,manual,NA,2,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_2_2_1,TS,NA,NA,NA,_2_2_1,NA,TRUE,manual,NA,2,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_2_3_1,TS,NA,NA,NA,_2_3_1,NA,TRUE,manual,NA,2,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_2_4_1,TS,NA,NA,NA,_2_4_1,NA,TRUE,manual,NA,2,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_2_5_1,TS,NA,NA,NA,_2_5_1,NA,TRUE,manual,NA,2,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_3_1_1,TS,NA,NA,NA,_3_1_1,NA,TRUE,manual,NA,3,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_3_2_1,TS,NA,NA,NA,_3_2_1,NA,TRUE,manual,NA,3,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_3_3_1,TS,NA,NA,NA,_3_3_1,NA,TRUE,manual,NA,3,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_3_4_1,TS,NA,NA,NA,_3_4_1,NA,TRUE,manual,NA,3,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_3_5_1,TS,NA,NA,NA,_3_5_1,NA,TRUE,manual,NA,3,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_4_1_1,TS,NA,NA,NA,_4_1_1,NA,TRUE,manual,NA,4,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_4_2_1,TS,NA,NA,NA,_4_2_1,NA,TRUE,manual,NA,4,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_4_3_1,TS,NA,NA,NA,_4_3_1,NA,TRUE,manual,NA,4,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_4_4_1,TS,NA,NA,NA,_4_4_1,NA,TRUE,manual,NA,4,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TS_4_5_1,TS,NA,NA,NA,_4_5_1,NA,TRUE,manual,NA,4,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_1_2_1,SWC,NA,NA,NA,_1_2_1,NA,TRUE,2step,NA,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_1_3_1,SWC,NA,NA,NA,_1_3_1,NA,TRUE,2step,NA,1,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_2_1_1,SWC,NA,NA,NA,_2_1_1,NA,TRUE,2step,NA,2,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_2_2_1,SWC,NA,NA,NA,_2_2_1,NA,TRUE,2step,NA,2,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_2_3_1,SWC,NA,NA,NA,_2_3_1,NA,TRUE,2step,NA,2,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_3_1_1,SWC,NA,NA,NA,_3_1_1,NA,TRUE,2step,NA,3,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_3_2_1,SWC,NA,NA,NA,_3_2_1,NA,TRUE,2step,NA,3,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SWC_3_3_1,SWC,NA,NA,NA,_3_3_1,NA,TRUE,2step,NA,3,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
